XY					
	CURVE1 (new-5mmolar-14btmapaq-CV-nitrogen-300mvps.DTA)[BKS]		CURVE2 (new-5mmolar-14btmapaq-CV-nitrogen-300mvps.DTA)[BKS]		
0.6979	4.63E-05	0.6978	3.54E-05		
0.6938	3.92E-05				
0.6898	3.37E-05				
0.6858	2.97E-05				
0.6818	2.61E-05				
0.6778	2.47E-05				
0.6739	2.27E-05				
0.6698	2.05E-05				
0.6657	1.86E-05				
0.6616	1.68E-05				
0.6578	1.66E-05				
0.6537	1.56E-05				
0.6499	1.42E-05				
0.6458	1.32E-05				
0.6418	1.18E-05				
0.6378	1.21E-05				
0.6339	1.15E-05				
0.6298	1.04E-05				
0.6259	9.77E-06				
0.6219	8.67E-06				
0.6179	9.21E-06				
0.6138	8.86E-06				
0.6099	8.02E-06				
0.6059	7.59E-06				
0.6019	6.68E-06				
0.5979	7.42E-06				
0.5939	7.29E-06				
0.5899	6.62E-06				
0.5859	6.33E-06				
0.5819	5.61E-06				
0.5779	6.49E-06				
0.5739	6.43E-06				
0.5699	5.89E-06				
0.5659	5.69E-06				
0.5619	5.03E-06				
0.5579	5.95E-06				
0.5539	5.93E-06				
0.5499	5.41E-06				
0.546	5.20E-06				
0.5419	4.60E-06				
0.5379	5.49E-06				
0.5339	5.46E-06				
0.5299	4.95E-06				
0.526	4.75E-06				
0.522	4.09E-06				
0.5179	5.00E-06				
0.5139	4.98E-06				
0.5099	4.40E-06				
0.5059	4.23E-06				
0.502	3.54E-06				
0.498	4.44E-06				
0.494	4.40E-06				
0.49	3.85E-06				
0.4859	3.65E-06				
0.482	2.97E-06				
0.478	3.87E-06				
0.474	3.83E-06				
0.4701	3.27E-06				
0.466	3.09E-06				
0.462	2.42E-06				
0.458	3.32E-06				
0.4541	3.24E-06				
0.4501	2.75E-06				
0.4461	2.52E-06				
0.442	1.88E-06				
0.438	2.80E-06				
0.434	2.74E-06				
0.43	2.27E-06				
0.4261	2.02E-06				
0.4221	1.38E-06				
0.4181	2.32E-06				
0.4141	2.25E-06				
0.4101	1.78E-06				
0.4061	1.54E-06				
0.4021	9.31E-07				
0.3982	1.87E-06				
0.3941	1.80E-06				
0.3901	1.31E-06				
0.3862	1.13E-06				
0.3822	4.64E-07				
0.3782	1.43E-06				
0.3742	1.37E-06				
0.3701	8.70E-07				
0.3661	6.93E-07				
0.3622	7.33E-08				
0.3582	1.03E-06				
0.3542	9.42E-07				
0.3502	4.78E-07				
0.3462	2.70E-07				
0.3422	-3.55E-07				
0.3382	6.18E-07				
0.3342	5.79E-07				
0.3302	1.06E-07				
0.3262	-1.17E-07				
0.3222	-7.23E-07				
0.3182	2.62E-07				
0.3142	1.92E-07				
0.3103	-3.07E-07				
0.3062	-5.21E-07				
0.3023	-1.08E-06				
0.29824	-1.26E-07				
0.29428	-1.95E-07				
0.29023	-6.61E-07				
0.28627	-8.87E-07				
0.28226	-1.49E-06				
0.27829	-4.99E-07				
0.27426	-5.82E-07				
0.27033	-1.05E-06				
0.26625	-1.24E-06				
0.26229	-1.85E-06				
0.25827	-8.71E-07				
0.25429	-9.39E-07				
0.25026	-1.40E-06				
0.24634	-1.60E-06				
0.24227	-2.20E-06				
0.23841	-1.24E-06				
0.23428	-1.32E-06				
0.23031	-1.78E-06				
0.22627	-1.93E-06				
0.22235	-2.57E-06				
0.21826	-1.57E-06				
0.21445	-1.66E-06				
0.2103	-2.11E-06				
0.206362	-2.30E-06				
0.202283	-2.88E-06				
0.1983895	-1.90E-06				
0.194283	-1.99E-06				
0.190437	-2.45E-06				
0.18634	-2.63E-06				
0.18236	-3.22E-06				
0.17831	-2.22E-06				
0.1744	-2.35E-06				
0.17029	-2.79E-06				
0.16645	-2.97E-06				
0.16229	-3.55E-06				
0.15841	-2.59E-06				
0.15433	-2.68E-06				
0.15043	-3.10E-06				
0.14632	-3.27E-06				
0.14251	-3.87E-06				
0.13832	-2.89E-06				
0.13444	-3.01E-06				
0.13036	-3.46E-06				
0.12646	-3.64E-06				
0.12233	-4.15E-06				
0.11853	-3.21E-06				
0.11435	-3.30E-06				
0.11061	-3.75E-06				
0.10642	-3.92E-06				
0.10248	-4.46E-06				
0.0984	-3.49E-06				
0.0946	-3.57E-06				
0.0904	-4.00E-06				
0.0866	-4.18E-06				
0.0824	-4.74E-06				
0.0785	-3.75E-06				
0.0744	-3.84E-06				
0.0706	-4.23E-06				
0.0664	-4.44E-06				
0.0626	-4.95E-06				
0.0586	-3.97E-06				
0.0545	-4.05E-06				
0.0505	-4.44E-06				
0.0466	-4.63E-06				
0.0425	-5.16E-06				
0.0386	-4.13E-06				
0.0345	-4.24E-06				
0.0306	-4.62E-06				
0.0265	-4.78E-06				
0.0226	-5.32E-06				
0.0185	-4.30E-06				
0.0146	-4.42E-06				
0.0105	-4.79E-06				
0.0066	-4.95E-06				
0.0026	-5.48E-06				
-0.0014	-4.45E-06				
-0.0054	-4.53E-06				
-0.0093	-4.95E-06				
-0.0134	-5.10E-06				
-0.0173	-5.57E-06				
-0.0214	-4.57E-06				
-0.0254	-4.66E-06				
-0.0294	-5.01E-06				
-0.0333	-5.17E-06				
-0.0373	-5.68E-06				
-0.0413	-4.61E-06				
-0.0453	-4.75E-06				
-0.0493	-5.10E-06				
-0.0534	-5.23E-06				
-0.0573	-5.73E-06				
-0.0613	-4.66E-06				
-0.0653	-4.75E-06				
-0.0693	-5.12E-06				
-0.0733	-5.20E-06				
-0.0773	-5.69E-06				
-0.0813	-4.62E-06				
-0.0853	-4.70E-06				
-0.0893	-5.00E-06				
-0.0933	-5.17E-06				
-0.0973	-5.61E-06				
-0.1013	-4.55E-06				
-0.1053	-4.60E-06				
-0.1093	-4.93E-06				
-0.1133	-5.08E-06				
-0.1173	-5.52E-06				
-0.1213	-4.46E-06				
-0.1253	-4.59E-06				
-0.1293	-4.94E-06				
-0.1333	-5.10E-06				
-0.1373	-5.61E-06				
-0.1413	-4.60E-06				
-0.1452	-4.77E-06				
-0.1493	-5.16E-06				
-0.1533	-5.39E-06				
-0.1573	-5.94E-06				
-0.1613	-4.97E-06				
-0.1652	-5.18E-06				
-0.1692	-5.62E-06				
-0.1733	-5.89E-06				
-0.1773	-6.52E-06				
-0.1813	-5.57E-06				
