XY	
	CURVE1 (new-5mmolar-18btmapaq-CV-nitrogen-300mvps.DTA)[BKS]
6.98E-01	2.86E-05
6.94E-01	2.35E-05
6.90E-01	1.94E-05
6.86E-01	1.67E-05
6.82E-01	1.30E-05
6.78E-01	1.29E-05
6.74E-01	1.19E-05
6.70E-01	1.06E-05
6.66E-01	9.69E-06
6.62E-01	7.28E-06
6.58E-01	8.23E-06
6.54E-01	7.95E-06
6.50E-01	7.27E-06
6.46E-01	6.80E-06
6.42E-01	4.75E-06
6.38E-01	6.03E-06
6.34E-01	5.96E-06
6.30E-01	5.52E-06
6.26E-01	5.23E-06
6.22E-01	3.35E-06
6.18E-01	4.73E-06
6.14E-01	4.79E-06
6.10E-01	4.45E-06
6.06E-01	4.24E-06
6.02E-01	2.42E-06
5.98E-01	3.89E-06
5.94E-01	4.01E-06
5.90E-01	3.74E-06
5.86E-01	3.54E-06
5.82E-01	1.77E-06
5.78E-01	3.30E-06
5.74E-01	3.47E-06
5.70E-01	3.24E-06
5.66E-01	3.06E-06
5.62E-01	1.32E-06
5.58E-01	2.89E-06
5.54E-01	3.06E-06
5.50E-01	2.84E-06
5.46E-01	2.67E-06
5.42E-01	9.74E-07
5.38E-01	2.56E-06
5.34E-01	2.71E-06
5.30E-01	2.53E-06
5.26E-01	2.35E-06
5.22E-01	6.62E-07
5.18E-01	2.25E-06
5.14E-01	2.44E-06
5.10E-01	2.26E-06
5.06E-01	2.08E-06
5.02E-01	4.04E-07
4.98E-01	2.01E-06
4.94E-01	2.19E-06
4.90E-01	2.02E-06
4.86E-01	1.84E-06
4.82E-01	1.68E-07
4.78E-01	1.82E-06
4.74E-01	1.97E-06
4.70E-01	1.82E-06
4.66E-01	1.65E-06
4.62E-01	-1.69E-08
4.58E-01	1.61E-06
4.54E-01	1.80E-06
4.50E-01	1.65E-06
4.46E-01	1.44E-06
4.42E-01	-2.00E-07
4.38E-01	1.45E-06
4.34E-01	1.60E-06
4.30E-01	1.49E-06
4.26E-01	1.29E-06
