date,time,loop_num,N2 input left(abs val),N2 input right(abs val),CO2 input left(abs val),CO2 input right(abs val),flow sensor left(sccm),flow sensor right(sccm),CO2 sensor left(abs val),CO2 sensor right(abs val)
11/02/2022 ,15:58:08 ,1,100,100,0,0,32.26,14.89,1.00,3.00
11/02/2022 ,15:58:08 ,1,100,100,0,0,23.21,14.52,2.00,4.00
11/02/2022 ,15:58:08 ,1,100,100,0,0,32.26,14.89,1.00,3.00
11/02/2022 ,15:58:08 ,1,100,100,0,0,23.21,14.52,2.00,4.00
11/02/2022 ,15:58:08 ,1,100,100,0,0,32.26,14.89,1.00,3.00
11/02/2022 ,15:58:08 ,1,100,100,0,0,23.21,14.52,2.00,4.00
11/02/2022 ,15:58:09 ,1,100,100,0,0,34.46,4.37,4.00,8.00
11/02/2022 ,15:58:10 ,1,100,100,0,0,30.91,4.98,5.00,8.00
11/02/2022 ,15:58:11 ,1,100,100,0,0,22.72,4.98,5.00,7.00
11/02/2022 ,15:58:12 ,1,100,100,0,0,32.01,4.74,4.00,7.00
11/02/2022 ,15:58:13 ,1,100,100,0,0,31.65,5.96,5.00,7.00
11/02/2022 ,15:58:14 ,1,100,100,0,0,21.98,13.06,4.00,6.00
11/02/2022 ,15:58:15 ,1,100,100,0,0,36.29,13.42,3.00,6.00
11/02/2022 ,15:58:16 ,1,100,100,0,0,32.13,14.03,3.00,6.00
11/02/2022 ,15:58:17 ,1,100,100,0,0,22.84,14.40,3.00,6.00
11/02/2022 ,15:58:18 ,1,100,100,0,0,43.02,14.65,3.00,6.00
11/02/2022 ,15:58:19 ,1,100,100,0,0,32.38,14.89,2.00,6.00
11/02/2022 ,15:58:20 ,1,100,100,0,0,25.90,15.38,3.00,5.00
11/02/2022 ,15:58:21 ,1,100,100,0,0,37.76,15.50,2.00,5.00
11/02/2022 ,15:58:22 ,1,100,100,0,0,32.38,14.89,2.00,5.00
11/02/2022 ,15:58:23 ,1,100,100,0,0,24.18,14.52,2.00,7.00
11/02/2022 ,15:58:24 ,1,100,100,0,0,37.76,14.77,0.00,4.00
11/02/2022 ,15:58:25 ,1,100,100,0,0,33.36,14.52,2.00,4.00
11/02/2022 ,15:58:26 ,1,100,100,0,0,32.99,14.77,2.00,5.00
11/02/2022 ,15:58:27 ,1,100,100,0,0,43.63,14.77,2.00,4.00
11/02/2022 ,15:58:28 ,1,100,100,0,0,31.16,10.37,1.00,5.00
11/02/2022 ,15:58:29 ,1,100,100,0,0,24.80,16.11,2.00,4.00
11/02/2022 ,15:58:30 ,1,100,100,0,0,35.93,20.27,2.00,4.00
11/02/2022 ,15:58:31 ,1,100,100,0,0,21.37,21.13,1.00,4.00
11/02/2022 ,15:58:32 ,1,100,100,0,0,23.57,20.64,1.00,4.00
11/02/2022 ,15:58:33 ,1,100,100,0,0,37.88,20.52,1.00,5.00
11/02/2022 ,15:58:34 ,1,100,100,0,0,33.36,19.66,2.00,4.00
11/02/2022 ,15:58:35 ,1,100,100,0,0,34.46,19.29,2.00,5.00
11/02/2022 ,15:58:36 ,1,100,100,0,0,38.74,19.54,1.00,4.00
11/02/2022 ,15:58:37 ,1,100,100,0,0,29.93,20.03,1.00,5.00
11/02/2022 ,15:58:38 ,1,100,100,0,0,34.83,19.78,1.00,3.00
11/02/2022 ,15:58:39 ,1,100,100,0,0,33.72,19.90,0.00,4.00
11/02/2022 ,15:58:40 ,1,100,100,0,0,20.76,19.66,2.00,2.00
11/02/2022 ,15:58:41 ,1,100,100,0,0,38.74,19.78,1.00,1.00
11/02/2022 ,15:58:42 ,1,100,100,0,0,38.00,19.29,1.00,1.00
11/02/2022 ,15:58:43 ,1,100,100,0,0,24.67,18.44,1.00,1.00
11/02/2022 ,15:58:44 ,1,100,100,0,0,35.56,19.05,1.00,1.00
11/02/2022 ,15:58:45 ,1,100,100,0,0,37.39,19.05,1.00,1.00
11/02/2022 ,15:58:46 ,1,100,100,0,0,21.74,19.90,2.00,0.00
11/02/2022 ,15:58:47 ,1,100,100,0,0,34.21,20.15,1.00,1.00
11/02/2022 ,15:58:48 ,1,100,100,0,0,30.91,20.27,1.00,2.00
11/02/2022 ,15:58:49 ,1,100,100,0,0,21.13,20.64,1.00,1.00
11/02/2022 ,15:58:50 ,1,100,100,0,0,39.47,20.39,1.00,2.00
11/02/2022 ,15:58:51 ,1,100,100,0,0,32.87,20.15,1.00,1.00
11/02/2022 ,15:58:52 ,1,100,100,0,0,25.16,20.15,0.00,1.00
11/02/2022 ,15:58:53 ,1,100,100,0,0,41.80,19.17,2.00,1.00
11/02/2022 ,15:58:54 ,1,100,100,0,0,35.68,19.29,1.00,1.00
11/02/2022 ,15:58:55 ,1,100,100,0,0,21.37,19.66,1.00,2.00
11/02/2022 ,15:58:56 ,1,100,100,0,0,35.31,19.90,1.00,1.00
11/02/2022 ,15:58:57 ,1,100,100,0,0,31.16,20.03,1.00,0.00
11/02/2022 ,15:58:58 ,1,100,100,0,0,26.63,20.15,1.00,2.00
11/02/2022 ,15:58:59 ,1,100,100,0,0,40.94,19.90,1.00,1.00
11/02/2022 ,15:59:00 ,1,100,100,0,0,32.75,19.90,1.00,1.00
11/02/2022 ,15:59:01 ,1,100,100,0,0,35.44,19.90,0.00,1.00
11/02/2022 ,15:59:02 ,1,100,100,0,0,39.72,19.42,1.00,2.00
11/02/2022 ,15:59:03 ,1,100,100,0,0,24.92,18.68,3.00,1.00
11/02/2022 ,15:59:04 ,1,100,100,0,0,22.11,18.93,1.00,1.00
11/02/2022 ,15:59:05 ,1,100,100,0,0,35.68,18.93,1.00,2.00
11/02/2022 ,15:59:06 ,1,100,100,0,0,21.49,19.90,0.00,2.00
11/02/2022 ,15:59:07 ,1,100,100,0,0,29.44,19.42,0.00,0.00
11/02/2022 ,15:59:08 ,1,100,100,0,0,37.76,19.54,1.00,2.00
11/02/2022 ,15:59:09 ,1,100,100,0,0,32.13,19.42,3.00,2.00
11/02/2022 ,15:59:10 ,1,100,100,0,0,35.80,19.29,1.00,1.00
11/02/2022 ,15:59:11 ,1,100,100,0,0,32.99,19.05,1.00,2.00
11/02/2022 ,15:59:12 ,1,100,100,0,0,22.47,18.56,1.00,1.00
11/02/2022 ,15:59:13 ,1,100,100,0,0,34.95,18.80,1.00,2.00
11/02/2022 ,15:59:14 ,1,100,100,0,0,35.93,18.56,1.00,2.00
11/02/2022 ,15:59:15 ,1,100,100,0,0,21.62,18.68,1.00,1.00
11/02/2022 ,15:59:16 ,1,100,100,0,0,42.41,19.29,47.00,38.00
11/02/2022 ,15:59:17 ,1,100,100,0,0,38.62,19.54,51.00,45.00
11/02/2022 ,15:59:18 ,1,100,100,0,0,25.53,19.66,53.00,46.00
11/02/2022 ,15:59:19 ,1,100,100,0,0,35.19,19.90,59.00,51.00
11/02/2022 ,15:59:20 ,1,100,100,0,0,33.24,18.68,64.00,55.00
11/02/2022 ,15:59:21 ,1,100,100,0,0,22.60,18.56,51.00,46.00
11/02/2022 ,15:59:22 ,1,100,100,0,0,36.78,18.80,48.00,44.00
11/02/2022 ,15:59:23 ,1,100,100,0,0,32.13,18.56,23.00,22.00
11/02/2022 ,15:59:24 ,1,100,100,0,0,22.47,19.17,22.00,20.00
11/02/2022 ,15:59:25 ,1,100,100,0,0,42.29,19.17,21.00,18.00
11/02/2022 ,15:59:26 ,1,100,100,0,0,30.67,19.66,20.00,20.00
11/02/2022 ,15:59:27 ,1,100,100,0,0,24.92,19.78,18.00,16.00
11/02/2022 ,15:59:28 ,1,100,100,0,0,36.78,19.42,17.00,16.00
11/02/2022 ,15:59:29 ,1,100,100,0,0,31.40,19.66,16.00,15.00
11/02/2022 ,15:59:30 ,1,100,100,0,0,22.96,19.42,15.00,15.00
11/02/2022 ,15:59:31 ,1,100,100,0,0,36.54,19.54,14.00,13.00
11/02/2022 ,15:59:32 ,1,100,100,0,0,32.75,18.80,13.00,11.00
11/02/2022 ,15:59:33 ,1,100,100,0,0,32.62,18.56,12.00,12.00
11/02/2022 ,15:59:34 ,1,100,100,0,0,40.82,19.54,12.00,11.00
11/02/2022 ,15:59:35 ,1,100,100,0,0,30.06,19.78,11.00,10.00
11/02/2022 ,15:59:36 ,1,100,100,0,0,33.60,19.54,11.00,9.00
11/02/2022 ,15:59:37 ,1,100,100,0,0,35.68,19.66,10.00,9.00
11/02/2022 ,15:59:38 ,1,100,100,0,0,21.13,19.42,9.00,9.00
11/02/2022 ,15:59:39 ,1,100,100,0,0,23.33,19.05,9.00,8.00
11/02/2022 ,15:59:40 ,1,100,100,0,0,38.00,18.93,9.00,8.00
11/02/2022 ,15:59:41 ,1,100,100,0,0,23.82,18.68,7.00,8.00
11/02/2022 ,15:59:42 ,1,100,100,0,0,35.68,18.56,7.00,5.00
11/02/2022 ,15:59:43 ,1,100,100,0,0,38.98,18.44,7.00,6.00
11/02/2022 ,15:59:44 ,1,100,100,0,0,28.59,18.56,6.00,5.00
11/02/2022 ,15:59:45 ,1,100,100,0,0,33.24,18.80,7.00,5.00
11/02/2022 ,15:59:46 ,1,100,100,0,0,30.91,19.17,6.00,6.00
11/02/2022 ,15:59:47 ,1,100,100,0,0,20.76,19.54,5.00,5.00
11/02/2022 ,15:59:48 ,1,100,100,0,0,38.00,18.80,4.00,4.00
