XY
	CURVE1 (new-5mmolar-18btmapaq-CV-nitrogen-700mvps.DTA)[BKS]		CURVE2 (new-5mmolar-18btmapaq-CV-nitrogen-700mvps.DTA)[BKS]
4.988e-001	3.485e-005	4.987e-001	2.710e-005
4.947e-001	2.888e-005		
4.907e-001	2.767e-005		
4.867e-001	2.503e-005		
4.827e-001	2.039e-005		
4.788e-001	2.077e-005		
4.748e-001	1.925e-005		
4.708e-001	1.516e-005		
4.668e-001	1.617e-005		
4.628e-001	1.521e-005		
4.588e-001	1.184e-005		
4.548e-001	1.290e-005		
4.508e-001	1.220e-005		
4.468e-001	9.493e-006		
4.428e-001	1.046e-005		
4.388e-001	9.969e-006		
4.348e-001	7.856e-006		
4.307e-001	8.491e-006		
4.268e-001	8.186e-006		
4.228e-001	6.660e-006		
4.188e-001	6.889e-006		
4.148e-001	6.634e-006		
4.108e-001	5.685e-006		
4.068e-001	5.737e-006		
4.028e-001	5.357e-006		
3.988e-001	5.044e-006		
3.948e-001	4.803e-006		
3.908e-001	4.217e-006		
3.868e-001	4.455e-006		
3.828e-001	4.156e-006		
3.788e-001	3.119e-006		
3.748e-001	4.025e-006		
3.708e-001	3.726e-006		
3.668e-001	2.107e-006		
3.628e-001	3.664e-006		
3.588e-001	3.479e-006		
3.549e-001	1.152e-006		
3.509e-001	3.349e-006		
3.469e-001	3.195e-006		
3.429e-001	6.752e-007		
3.388e-001	2.871e-006		
3.348e-001	2.959e-006		
3.309e-001	3.314e-007		
3.269e-001	2.376e-006		
3.229e-001	2.516e-006		
3.189e-001	1.543e-007		
3.148e-001	1.963e-006		
3.108e-001	2.093e-006		
3.069e-001	1.888e-007		
3.028e-001	1.552e-006		
2.988e-001	1.699e-006		
2.949e-001	1.656e-007		
2.909e-001	1.106e-006		
2.868e-001	1.250e-006		
2.829e-001	1.797e-007		
2.789e-001	7.388e-007		
2.749e-001	7.585e-007		
2.709e-001	2.653e-007		
2.669e-001	4.592e-007		
2.629e-001	3.204e-007		
2.589e-001	3.476e-007		
