XY
	CURVE (1mkcl-5mmolar15btmapaq-nitrogen-rde1200mvpers-50mvpers.DTA)
4.997e-001	-3.212e-005
4.988e-001	1.797e-005
4.987e-001	1.772e-005
4.986e-001	1.684e-005
4.985e-001	1.534e-005
4.984e-001	1.517e-005
4.983e-001	1.437e-005
4.982e-001	1.319e-005
4.980e-001	1.291e-005
4.979e-001	1.250e-005
4.977e-001	1.203e-005
4.976e-001	1.187e-005
4.976e-001	1.156e-005
4.975e-001	1.132e-005
4.974e-001	1.096e-005
4.973e-001	1.065e-005
4.972e-001	1.046e-005
4.971e-001	1.040e-005
4.970e-001	1.003e-005
4.969e-001	9.723e-006
4.968e-001	9.604e-006
4.968e-001	9.519e-006
4.966e-001	9.282e-006
4.965e-001	9.127e-006
4.964e-001	8.973e-006
4.963e-001	8.771e-006
4.961e-001	8.690e-006
4.960e-001	8.447e-006
4.960e-001	8.253e-006
4.959e-001	8.166e-006
4.958e-001	7.964e-006
4.957e-001	7.884e-006
4.956e-001	7.733e-006
4.955e-001	7.702e-006
4.954e-001	7.576e-006
4.953e-001	7.439e-006
4.952e-001	7.408e-006
4.951e-001	7.228e-006
4.950e-001	7.167e-006
4.950e-001	6.977e-006
4.948e-001	6.981e-006
4.947e-001	6.887e-006
4.945e-001	6.750e-006
4.945e-001	6.562e-006
4.944e-001	6.471e-006
4.943e-001	6.382e-006
4.942e-001	6.481e-006
4.942e-001	6.323e-006
4.940e-001	6.200e-006
4.939e-001	6.043e-006
4.938e-001	6.180e-006
4.937e-001	5.999e-006
4.936e-001	5.946e-006
4.935e-001	5.942e-006
4.934e-001	5.810e-006
4.934e-001	5.798e-006
4.933e-001	5.669e-006
4.931e-001	5.624e-006
4.929e-001	5.551e-006
4.928e-001	5.451e-006
4.928e-001	5.439e-006
4.927e-001	5.342e-006
4.926e-001	5.352e-006
4.926e-001	5.232e-006
4.924e-001	5.242e-006
4.923e-001	5.090e-006
4.923e-001	5.080e-006
4.921e-001	4.945e-006
4.920e-001	5.017e-006
4.919e-001	4.957e-006
4.918e-001	4.751e-006
4.918e-001	4.897e-006
4.917e-001	4.747e-006
4.916e-001	4.880e-006
4.913e-001	4.821e-006
4.912e-001	4.728e-006
4.912e-001	4.713e-006
4.911e-001	4.591e-006
4.910e-001	4.714e-006
4.910e-001	4.669e-006
4.909e-001	4.543e-006
4.908e-001	4.538e-006
4.907e-001	4.506e-006
4.905e-001	4.400e-006
4.904e-001	4.356e-006
4.903e-001	4.317e-006
4.902e-001	4.335e-006
4.902e-001	4.340e-006
4.902e-001	4.231e-006
4.900e-001	4.178e-006
4.898e-001	4.218e-006
4.897e-001	4.141e-006
4.896e-001	4.199e-006
4.895e-001	4.097e-006
4.894e-001	4.088e-006
4.894e-001	3.974e-006
4.893e-001	3.948e-006
4.892e-001	3.969e-006
4.891e-001	3.922e-006
4.889e-001	3.878e-006
4.888e-001	3.778e-006
4.887e-001	3.757e-006
4.886e-001	3.772e-006
4.886e-001	3.720e-006
4.886e-001	3.799e-006
4.885e-001	3.854e-006
4.883e-001	3.705e-006
4.880e-001	3.599e-006
4.879e-001	3.690e-006
4.879e-001	3.651e-006
4.878e-001	3.609e-006
4.878e-001	3.643e-006
4.877e-001	3.692e-006
4.877e-001	3.612e-006
4.875e-001	3.545e-006
4.873e-001	3.490e-006
4.872e-001	3.411e-006
4.871e-001	3.525e-006
4.870e-001	3.374e-006
4.870e-001	3.317e-006
4.870e-001	3.267e-006
4.868e-001	3.344e-006
4.866e-001	3.205e-006
4.865e-001	3.380e-006
4.864e-001	3.282e-006
4.863e-001	3.281e-006
4.863e-001	3.213e-006
4.862e-001	3.251e-006
4.862e-001	3.123e-006
4.861e-001	3.190e-006
4.860e-001	3.180e-006
4.858e-001	3.114e-006
4.856e-001	3.219e-006
4.856e-001	3.110e-006
4.854e-001	3.128e-006
4.854e-001	3.135e-006
4.854e-001	3.127e-006
4.853e-001	3.055e-006
4.850e-001	3.051e-006
4.848e-001	3.017e-006
4.848e-001	3.024e-006
4.847e-001	3.107e-006
4.847e-001	2.950e-006
4.846e-001	2.932e-006
4.846e-001	2.929e-006
4.845e-001	3.059e-006
4.843e-001	3.027e-006
4.842e-001	2.893e-006
4.840e-001	2.943e-006
4.839e-001	2.947e-006
4.839e-001	2.910e-006
4.838e-001	2.885e-006
4.838e-001	2.916e-006
4.838e-001	2.843e-006
4.835e-001	2.761e-006
4.832e-001	2.728e-006
4.832e-001	2.782e-006
4.832e-001	2.765e-006
4.831e-001	2.645e-006
4.830e-001	2.712e-006
4.830e-001	2.586e-006
4.829e-001	2.667e-006
4.827e-001	2.620e-006
4.826e-001	2.687e-006
4.824e-001	2.569e-006
4.824e-001	2.660e-006
4.823e-001	2.561e-006
4.822e-001	2.625e-006
4.822e-001	2.710e-006
4.821e-001	2.547e-006
4.818e-001	2.546e-006
4.816e-001	2.484e-006
4.816e-001	2.554e-006
4.816e-001	2.643e-006
4.815e-001	2.633e-006
4.815e-001	2.562e-006
4.813e-001	2.532e-006
4.813e-001	2.516e-006
4.812e-001	2.441e-006
4.810e-001	2.489e-006
4.808e-001	2.476e-006
4.808e-001	2.511e-006
4.807e-001	2.518e-006
4.806e-001	2.431e-006
4.806e-001	2.506e-006
4.804e-001	2.462e-006
4.802e-001	2.309e-006
4.800e-001	2.371e-006
4.800e-001	2.430e-006
4.800e-001	2.434e-006
4.799e-001	2.430e-006
4.798e-001	2.270e-006
4.798e-001	2.362e-006
4.796e-001	2.329e-006
4.796e-001	2.218e-006
4.794e-001	2.272e-006
4.792e-001	2.279e-006
4.792e-001	2.361e-006
4.791e-001	2.303e-006
4.790e-001	2.288e-006
4.790e-001	2.281e-006
4.788e-001	2.208e-006
4.785e-001	2.165e-006
4.784e-001	2.124e-006
4.784e-001	2.278e-006
4.783e-001	2.142e-006
4.783e-001	2.340e-006
4.783e-001	2.213e-006
4.781e-001	2.229e-006
4.780e-001	2.306e-006
4.779e-001	2.149e-006
4.778e-001	2.265e-006
4.777e-001	2.299e-006
4.776e-001	2.168e-006
4.775e-001	2.178e-006
4.774e-001	2.081e-006
4.774e-001	2.139e-006
4.772e-001	2.182e-006
4.770e-001	2.037e-006
4.769e-001	2.057e-006
4.768e-001	2.326e-006
4.767e-001	2.016e-006
4.767e-001	2.127e-006
4.767e-001	2.175e-006
4.765e-001	2.070e-006
4.765e-001	2.053e-006
4.765e-001	2.020e-006
4.762e-001	2.035e-006
4.761e-001	2.133e-006
4.760e-001	2.012e-006
4.759e-001	1.986e-006
4.759e-001	2.107e-006
4.758e-001	2.023e-006
4.758e-001	2.060e-006
4.753e-001	2.039e-006
4.752e-001	1.880e-006
4.752e-001	1.978e-006
4.752e-001	1.954e-006
4.751e-001	1.982e-006
4.750e-001	1.891e-006
4.750e-001	1.964e-006
4.749e-001	1.801e-006
4.748e-001	1.852e-006
4.747e-001	1.908e-006
4.744e-001	1.886e-006
4.744e-001	1.906e-006
4.743e-001	1.863e-006
4.743e-001	1.869e-006
4.742e-001	1.964e-006
4.741e-001	1.964e-006
4.740e-001	1.839e-006
4.737e-001	1.843e-006
4.736e-001	1.880e-006
4.735e-001	1.847e-006
4.734e-001	1.766e-006
4.733e-001	1.817e-006
4.732e-001	1.817e-006
4.731e-001	1.808e-006
4.730e-001	1.719e-006
4.729e-001	1.810e-006
4.728e-001	1.718e-006
4.727e-001	1.806e-006
4.726e-001	1.817e-006
4.726e-001	1.796e-006
4.725e-001	1.767e-006
4.723e-001	1.912e-006
4.722e-001	1.825e-006
4.721e-001	1.747e-006
4.720e-001	1.731e-006
4.719e-001	1.747e-006
4.718e-001	1.738e-006
4.717e-001	1.703e-006
4.716e-001	1.741e-006
4.715e-001	1.767e-006
4.714e-001	1.684e-006
4.713e-001	1.771e-006
4.712e-001	1.778e-006
4.711e-001	1.640e-006
4.710e-001	1.721e-006
4.710e-001	1.671e-006
4.709e-001	1.680e-006
4.707e-001	1.751e-006
4.706e-001	1.681e-006
4.705e-001	1.643e-006
4.704e-001	1.676e-006
4.703e-001	1.710e-006
4.702e-001	1.625e-006
4.702e-001	1.800e-006
4.700e-001	1.708e-006
4.699e-001	1.656e-006
4.698e-001	1.603e-006
4.697e-001	1.674e-006
4.696e-001	1.593e-006
4.695e-001	1.670e-006
4.694e-001	1.658e-006
4.694e-001	1.620e-006
4.693e-001	1.569e-006
4.692e-001	1.641e-006
4.690e-001	1.535e-006
4.689e-001	1.524e-006
4.688e-001	1.591e-006
4.687e-001	1.648e-006
4.686e-001	1.595e-006
4.686e-001	1.535e-006
4.685e-001	1.638e-006
4.683e-001	1.683e-006
4.682e-001	1.541e-006
4.681e-001	1.632e-006
4.680e-001	1.549e-006
4.679e-001	1.639e-006
4.678e-001	1.478e-006
4.678e-001	1.508e-006
4.677e-001	1.458e-006
4.675e-001	1.566e-006
4.674e-001	1.466e-006
4.673e-001	1.425e-006
4.672e-001	1.435e-006
4.671e-001	1.566e-006
4.670e-001	1.536e-006
4.670e-001	1.320e-006
4.668e-001	1.548e-006
4.668e-001	1.473e-006
4.666e-001	1.563e-006
4.665e-001	1.511e-006
4.664e-001	1.405e-006
4.663e-001	1.476e-006
4.662e-001	1.417e-006
4.662e-001	1.482e-006
4.662e-001	1.472e-006
4.661e-001	1.429e-006
4.658e-001	1.442e-006
4.657e-001	1.398e-006
4.656e-001	1.436e-006
4.655e-001	1.428e-006
4.655e-001	1.427e-006
4.654e-001	1.402e-006
4.653e-001	1.376e-006
4.652e-001	1.371e-006
4.651e-001	1.535e-006
4.649e-001	1.517e-006
4.649e-001	1.351e-006
4.647e-001	1.464e-006
4.646e-001	1.398e-006
4.646e-001	1.383e-006
4.646e-001	1.353e-006
4.644e-001	1.336e-006
4.643e-001	1.515e-006
4.640e-001	1.423e-006
