XY
	CURVE (1mkcl-nitrogen-rde-400-50mvpers.DTA)
2.998e-001	-8.094e-005
2.989e-001	-9.520e-006
2.988e-001	-9.479e-006
2.987e-001	-8.810e-006
2.986e-001	-8.977e-006
2.984e-001	-9.019e-006
2.983e-001	-8.351e-006
2.982e-001	-7.840e-006
2.981e-001	-8.018e-006
2.980e-001	-7.835e-006
2.979e-001	-7.803e-006
2.977e-001	-8.296e-006
2.977e-001	-7.713e-006
2.975e-001	-7.957e-006
2.974e-001	-8.006e-006
2.973e-001	-7.581e-006
2.973e-001	-6.856e-006
2.972e-001	-6.907e-006
2.971e-001	-7.068e-006
2.971e-001	-7.057e-006
2.969e-001	-7.027e-006
2.968e-001	-6.817e-006
2.966e-001	-6.333e-006
2.966e-001	-6.878e-006
2.965e-001	-6.621e-006
2.964e-001	-6.320e-006
2.963e-001	-6.376e-006
2.962e-001	-6.215e-006
2.961e-001	-6.481e-006
2.960e-001	-6.400e-006
2.959e-001	-6.417e-006
2.958e-001	-5.999e-006
2.957e-001	-6.560e-006
2.956e-001	-6.614e-006
2.955e-001	-6.080e-006
2.955e-001	-6.081e-006
2.953e-001	-6.020e-006
2.952e-001	-5.889e-006
2.951e-001	-6.048e-006
2.950e-001	-5.665e-006
2.949e-001	-5.916e-006
2.948e-001	-5.611e-006
2.947e-001	-5.735e-006
2.946e-001	-5.988e-006
2.945e-001	-5.995e-006
2.944e-001	-6.205e-006
2.943e-001	-5.400e-006
2.942e-001	-5.199e-006
2.941e-001	-5.403e-006
2.940e-001	-5.400e-006
2.939e-001	-5.528e-006
2.938e-001	-5.426e-006
2.937e-001	-5.126e-006
2.936e-001	-5.502e-006
2.935e-001	-5.193e-006
2.934e-001	-5.408e-006
2.933e-001	-5.793e-006
2.932e-001	-5.218e-006
2.931e-001	-5.086e-006
2.929e-001	-5.321e-006
2.929e-001	-5.096e-006
2.928e-001	-4.891e-006
2.927e-001	-5.017e-006
2.925e-001	-5.144e-006
2.925e-001	-4.737e-006
2.924e-001	-5.021e-006
2.923e-001	-4.742e-006
2.922e-001	-5.166e-006
2.921e-001	-4.852e-006
2.920e-001	-4.579e-006
2.919e-001	-5.039e-006
2.917e-001	-5.278e-006
2.917e-001	-5.199e-006
2.916e-001	-5.297e-006
2.915e-001	-4.816e-006
2.914e-001	-4.793e-006
2.913e-001	-4.951e-006
2.911e-001	-4.826e-006
2.910e-001	-5.016e-006
2.909e-001	-4.861e-006
2.908e-001	-5.006e-006
2.908e-001	-4.429e-006
2.907e-001	-4.615e-006
2.905e-001	-4.941e-006
2.905e-001	-4.786e-006
2.904e-001	-5.112e-006
2.903e-001	-4.704e-006
2.901e-001	-4.063e-006
2.901e-001	-4.632e-006
2.899e-001	-4.813e-006
2.898e-001	-4.276e-006
2.898e-001	-4.331e-006
2.897e-001	-4.625e-006
2.896e-001	-4.588e-006
2.895e-001	-4.560e-006
2.893e-001	-4.486e-006
2.893e-001	-4.858e-006
2.892e-001	-4.566e-006
2.891e-001	-4.462e-006
2.890e-001	-4.535e-006
2.889e-001	-4.284e-006
2.888e-001	-4.691e-006
2.887e-001	-4.324e-006
2.885e-001	-4.626e-006
2.885e-001	-4.434e-006
2.884e-001	-4.416e-006
2.883e-001	-5.053e-006
2.882e-001	-4.436e-006
2.881e-001	-4.686e-006
2.880e-001	-4.244e-006
2.879e-001	-4.326e-006
2.877e-001	-4.539e-006
2.876e-001	-4.292e-006
2.876e-001	-4.850e-006
2.875e-001	-4.525e-006
2.874e-001	-4.430e-006
2.873e-001	-4.046e-006
2.872e-001	-4.451e-006
2.871e-001	-4.471e-006
2.870e-001	-3.982e-006
2.868e-001	-4.258e-006
2.868e-001	-4.217e-006
2.867e-001	-4.541e-006
2.865e-001	-4.325e-006
2.864e-001	-4.772e-006
2.864e-001	-4.393e-006
2.863e-001	-4.046e-006
2.861e-001	-4.200e-006
2.860e-001	-4.411e-006
2.860e-001	-4.561e-006
2.859e-001	-4.643e-006
2.858e-001	-4.258e-006
2.857e-001	-4.261e-006
2.855e-001	-4.226e-006
2.855e-001	-4.362e-006
2.853e-001	-4.259e-006
2.853e-001	-4.337e-006
2.852e-001	-4.499e-006
2.850e-001	-4.250e-006
2.849e-001	-4.530e-006
2.848e-001	-4.399e-006
2.848e-001	-3.861e-006
2.847e-001	-4.036e-006
2.845e-001	-4.563e-006
2.845e-001	-4.396e-006
2.844e-001	-4.057e-006
2.843e-001	-4.371e-006
2.842e-001	-3.998e-006
2.841e-001	-4.074e-006
2.840e-001	-4.026e-006
2.839e-001	-4.186e-006
2.837e-001	-4.085e-006
2.837e-001	-4.005e-006
2.836e-001	-4.383e-006
2.834e-001	-4.373e-006
2.834e-001	-4.269e-006
2.833e-001	-3.867e-006
2.832e-001	-4.079e-006
2.830e-001	-4.006e-006
2.829e-001	-4.307e-006
2.829e-001	-3.891e-006
2.827e-001	-3.936e-006
2.827e-001	-3.970e-006
2.826e-001	-3.886e-006
2.825e-001	-4.174e-006
2.824e-001	-3.750e-006
2.822e-001	-4.182e-006
2.821e-001	-3.936e-006
2.821e-001	-4.225e-006
2.820e-001	-4.064e-006
2.819e-001	-4.053e-006
2.817e-001	-4.030e-006
2.817e-001	-4.107e-006
2.816e-001	-3.912e-006
2.814e-001	-4.037e-006
2.813e-001	-3.871e-006
2.813e-001	-4.440e-006
2.812e-001	-4.387e-006
2.811e-001	-3.959e-006
2.810e-001	-4.190e-006
2.809e-001	-4.391e-006
2.808e-001	-4.138e-006
2.807e-001	-3.746e-006
2.806e-001	-4.472e-006
2.805e-001	-4.200e-006
2.804e-001	-4.098e-006
2.803e-001	-4.302e-006
2.802e-001	-4.014e-006
2.801e-001	-3.923e-006
2.800e-001	-3.921e-006
2.799e-001	-3.974e-006
2.797e-001	-4.459e-006
2.797e-001	-4.234e-006
2.796e-001	-3.960e-006
2.795e-001	-4.134e-006
2.794e-001	-4.024e-006
2.793e-001	-4.159e-006
