XY
	CURVE (1mkcl-5mmolar18btmapaq-nitrogen-rde-1200mvpers-50mvpers.DTA)
4.998e-001	-3.922e-005
4.987e-001	1.772e-005
4.986e-001	1.738e-005
4.985e-001	1.722e-005
4.984e-001	1.696e-005
4.983e-001	1.722e-005
4.982e-001	1.667e-005
4.981e-001	1.436e-005
4.980e-001	1.409e-005
4.978e-001	1.375e-005
4.977e-001	1.343e-005
4.976e-001	1.305e-005
4.976e-001	1.303e-005
4.975e-001	1.283e-005
4.974e-001	1.271e-005
4.973e-001	1.242e-005
4.972e-001	1.220e-005
4.971e-001	1.193e-005
4.969e-001	1.170e-005
4.969e-001	1.163e-005
4.968e-001	1.154e-005
4.967e-001	1.119e-005
4.966e-001	1.104e-005
4.965e-001	1.090e-005
4.964e-001	1.105e-005
4.963e-001	1.070e-005
4.961e-001	1.063e-005
4.960e-001	1.057e-005
4.959e-001	1.017e-005
4.958e-001	1.027e-005
4.958e-001	1.016e-005
4.957e-001	9.895e-006
4.956e-001	1.010e-005
4.954e-001	9.717e-006
4.953e-001	9.628e-006
4.952e-001	9.478e-006
4.951e-001	9.517e-006
4.951e-001	9.277e-006
4.950e-001	9.292e-006
4.949e-001	9.117e-006
4.948e-001	9.275e-006
4.946e-001	8.909e-006
4.945e-001	8.678e-006
4.944e-001	8.849e-006
4.944e-001	8.646e-006
4.943e-001	8.725e-006
4.942e-001	8.640e-006
4.941e-001	8.648e-006
4.940e-001	8.349e-006
4.939e-001	8.415e-006
4.937e-001	8.178e-006
4.937e-001	8.345e-006
4.936e-001	8.226e-006
4.935e-001	7.936e-006
4.934e-001	8.125e-006
4.933e-001	7.760e-006
4.932e-001	7.776e-006
4.930e-001	7.796e-006
4.929e-001	7.531e-006
4.928e-001	7.571e-006
4.928e-001	7.465e-006
4.927e-001	7.551e-006
4.926e-001	7.443e-006
4.925e-001	7.543e-006
4.924e-001	7.384e-006
4.923e-001	7.247e-006
4.921e-001	7.129e-006
4.921e-001	7.333e-006
4.920e-001	7.217e-006
4.919e-001	7.362e-006
4.918e-001	7.181e-006
4.917e-001	7.274e-006
4.916e-001	7.028e-006
4.915e-001	6.952e-006
4.913e-001	7.006e-006
